geneid,CAT1,CAT2,CAT4,CAT5,CAT16,CAT36,CAT7,CAT12,CAT13,CAT25,CAT34,CAT38,CAT39,CAT11,CAT14,CAT17,CAT19,CAT21,CAT22,CAT26,CAT27,CAT28,CAT32,CAT33,CAT35,CAT20,CAT23,CAT24,CAT30,CAT31
aaas,-0.25817603,1.764786021,0.843431932,0.473927751,1.072937793,1.044882963,0.914977081,0.0,0.0,0.063303316,-0.330519807,0.059647237,0.349258087,0.427793247,-0.626093571,-0.106482377,0.150929549,-0.716149444,0.578732003,0.781187043,-1.901228727,0.258034065,0.298373152,0.156916829,0.173562089,-0.672413443,-0.994935867,-0.889315186,-0.576830447,0.0
aacs,0.07198295,-0.393133119,0.941454137,0.529859125,0.218240859,-0.152750635,0.709364678,0.0,0.0,0.323006447,0.660026798,0.0,1.447017687,0.0,0.0,0.095601032,0.162729532,-0.688241416,0.474291185,0.0,0.0,-0.557171886,-1.249987781,0.401553282,0.0,0.0,-0.29627221,-0.708052375,0.078611752,0.0
aagab,0.0,0.773793795,0.76582175,0.776237484,0.668365646,0.354940555,0.120540668,0.0,0.0,-0.005077825,0.045651461,-0.710869297,0.853108717,-1.670062026,-0.437499578,-0.181563628,-0.030428327,-0.191437076,-0.943625184,-0.210094478,0.307076727,-0.69196119,-0.863666807,-0.32628705,0.095818174,0.0,0.171146836,0.829102884,0.025097123,1.177626037
aamp,0.033533914,0.815896768,-0.030068585,0.774494286,-0.104030796,0.346064988,-0.293193773,0.0,0.62779689,-0.09319085,-0.017241753,-0.530912248,-0.107247295,1.26388169,0.620993051,1.07385303,0.77134836,0.584260286,1.276141296,1.036030974,0.988277901,0.0,1.484199528,0.867420804,1.244903437,0.0,1.326950188,0.309737943,-0.399917612,0.0
aar2,0.0,0.800369216,0.0,0.859385406,0.699607813,1.164557932,-1.158049333,0.0,0.0,-0.195361998,-1.629088121,0.423252846,0.0,0.0,0.0,-0.608584074,-1.650296768,-0.462801535,-0.45664083,0.0,0.0,-1.004713453,-0.741769271,-0.934360461,0.0,0.0,-1.399612723,-0.781048158,0.0,-1.604439185
aars2,-3.239471787,0.267358195,0.057419714,0.08693714,0.832048669,0.017433383,-2.361271678,0.0,0.0,-0.039397479,-1.344648963,0.151659672,-4.522208854,0.0,0.0,-0.378165744,-0.369267057,0.249441907,-1.847314558,0.290900377,0.041912645,-1.095602495,-1.162326317,-0.145512319,-0.446173022,0.0,0.456100953,-1.074335208,0.0,0.0
aarsd1,0.732821651,1.029791957,0.880441761,0.624171721,0.576267638,0.0,-1.060530068,0.0,-2.680054761,-0.16198937,-1.152760876,-0.038789945,0.392950775,-1.335764254,0.0,-2.878906013,-0.274898617,-1.239449155,-2.366514429,0.0,0.0,-3.523849987,1.344915393,0.0,-2.421242732,0.0,-0.504217497,-1.236327383,0.0,0.0
aasdhppt,1.826994337,0.329132108,0.764449385,0.799046898,0.664079157,0.833721964,0.272258672,0.0,0.0,0.121299829,0.850644436,0.0,0.0,0.430170277,0.0,0.771447501,0.805144305,0.093274953,0.13464124,-0.815313914,-0.723540863,0.0,0.738645786,-0.048510938,0.188256208,1.316546275,-0.109509129,0.179183588,0.846810595,0.0
aass,0.0,0.012596986,-1.45859503,0.0,-0.317555758,0.0,-0.313484092,0.0,0.0,-0.430983413,-0.917376215,-0.008466731,-0.942739111,-1.394401803,-1.500838426,-0.566688866,-0.251557454,-1.902445096,-0.485532229,0.337970698,-2.190344026,0.370348712,-0.970472887,-2.555906274,0.701072745,0.0,0.822018401,0.362133836,0.236806619,0.0
aatf,1.132506545,0.679425256,0.501210195,0.288489937,0.0,0.259476941,0.49621756,0.774027051,0.026890401,0.576330456,0.640460761,0.834681476,0.9501344,-1.81540555,-0.017676046,-0.344293235,-0.157338067,-0.274683303,-1.500698164,0.0,-1.139577955,0.0,-1.09474778,-0.199668885,-0.974632135,0.0,-0.949547964,-1.66346653,-0.892613341,-1.407709723
abat,0.0,0.0,0.0,0.0,-3.796384557,0.0,0.509796433,0.0,0.0,-0.081431936,0.187334736,0.023196763,1.335056359,0.0,1.794061212,0.767006507,0.554748622,-0.684795464,-0.487940069,-0.062799454,-0.422104542,1.383621693,-0.354748934,-0.962832869,-0.118571151,0.0,-0.042422199,-0.60709507,-0.574072184,0.203904413
abca2,-0.149424396,-1.076058051,-0.367299454,-1.325930238,0.116403941,-0.320226831,-1.695331588,0.0,0.0,0.0,-0.691594724,0.0,0.0,1.891407896,-1.483324987,-0.244042052,0.328144678,-0.588387646,1.372454586,0.0,-0.129903537,0.0,-0.00268192,0.098998241,0.466004936,0.0,0.038333696,0.116088786,-0.241861209,0.0
abca3,0.0,-1.605945784,-1.756496984,0.0,0.843593387,-2.239407489,-0.862873016,0.0,-0.088530275,-0.304240865,-0.313838535,-1.141821042,1.581951655,-1.212658767,0.0,0.058142156,0.273748911,-1.875839719,-1.286681823,0.0,0.0,-0.608712088,-0.194043966,-0.456162987,0.0,0.0,1.196272724,-0.628476869,-1.480318633,-1.377128168
abcb6,0.009564637,-0.674671577,0.849524267,-1.136332588,-0.966968801,0.305273816,0.083086596,0.0,0.0,-0.080893854,-0.039825922,0.248011779,0.0,-3.07695344,0.0,-0.902060054,0.097135292,0.232315145,-1.044754727,0.668371128,-0.937413337,0.409626383,-1.517309366,-1.927086864,0.086250464,0.0,-2.177676263,0.216564468,0.0,0.0
abcb7,-0.374542686,1.453631161,0.036181617,-0.06873839,0.636318773,0.367642076,-0.293534389,0.0,-0.43613455,-0.218684011,-0.039724503,-0.236172663,0.0,0.627749915,0.246888149,0.530906704,0.498054375,-1.025609985,0.757561095,0.131208836,0.355056822,1.408922967,0.162109345,-0.736143581,0.346390735,-0.425734367,-0.521893167,-0.755574601,0.0,0.0
abcb9,0.0,0.417893011,0.285837992,0.0,0.439933929,-0.748741299,0.465854403,0.0,0.0,-0.103138342,-0.992669356,0.0,0.0,-0.991740649,0.155616553,-0.508795879,-0.180188019,0.678459345,0.644372274,0.701262299,0.347272108,0.945649266,-0.696412609,-0.947719533,0.017395252,0.0,-0.380834684,-0.73709994,0.262133494,0.0
abcc1,1.297897369,-0.41399913,0.186620228,-0.790919232,-0.543597839,0.261021482,1.361782684,0.0,0.535188158,-0.049733449,0.0,0.170357479,0.0,-0.039399864,-0.862606228,-1.325692262,-0.253896756,0.377466399,-0.178680767,0.039217689,0.0,0.801633742,-0.593719301,0.064221655,-0.040644778,0.0,-0.202893433,-0.800298757,-1.900016011,0.0
abcc10,0.0,-0.001553586,0.762989149,0.0,-0.049977723,-0.159769507,-1.081434863,0.0,0.0,-0.312927341,-2.020638453,-0.265867405,0.0,0.03311245,0.0,0.416220127,0.586510254,0.370939511,0.183318892,0.0,1.123821844,0.0,-0.645504755,1.310085811,0.0,0.0,1.519722709,-0.80584047,0.612975689,0.0
abcc3,2.184047666,-0.149950526,0.0,-0.208979733,-1.821287216,-0.530752634,-0.365057477,0.0,0.0,1.046529005,0.0,0.0,0.0,-0.230809802,-0.804853104,0.142863378,0.513183624,0.099855525,0.926290158,0.0,0.141184348,0.0,-0.497752099,0.735649266,0.0,0.0,0.682829406,0.385423666,-0.818303418,0.0
abcc4,0.195805817,0.020560229,-0.027366373,0.0,0.223764116,-0.037714562,1.880662149,0.0,0.0,-0.22955314,0.0,-6.587895491,1.420877355,0.293989161,0.335198387,0.2454276,0.105766791,0.130874548,0.72847952,0.0,0.456262033,0.0,-0.079195472,-1.429021707,0.0,0.0,0.898287061,0.28221509,1.24340023,1.353019819
abcc5,1.109885619,-0.342878985,1.4445925,-0.487085951,-0.6084732,-0.738438578,-0.572454992,0.0,0.0,0.247534869,-0.009699406,0.0,0.92658869,0.0,0.0,0.61326454,-0.278027192,-0.184837114,0.969419245,0.0,0.0,0.0,-0.089954801,-0.285297187,0.089898986,0.0,-0.11938108,-0.65663705,0.197330049,0.0
abcd1,-0.603875945,-0.207506124,0.0,-0.919030795,-0.05223897,0.448340592,-1.102039593,0.0,0.0,-0.216479471,-0.589808093,-0.223097701,0.3371504,0.0,-0.933984812,0.573944832,-0.161260975,0.512589555,0.126130379,-0.990201297,0.307076727,-0.328681284,-1.499384138,1.584094196,-0.200876475,0.0,-1.538580254,-2.047585584,0.0,0.0
abcd3,-0.667026344,0.635941794,0.174809095,-0.657565899,0.195565176,-0.54395735,-0.563601743,0.0,0.0,-0.027663491,-0.889804679,0.022850707,-1.173179579,-0.800486237,-0.445719165,-0.809648988,-0.039682385,-0.333929352,-0.930867369,0.000853527,0.0,0.67116478,-0.565023991,0.475787981,0.181975843,0.15091157,1.317615418,-1.26436892,-1.086173449,0.860547804
abce1,0.097415852,0.927596165,0.453519704,0.706121056,0.617326661,0.932730326,0.295852907,0.113623681,-0.010061501,0.062008123,-0.743395536,-0.376623552,0.731297998,-0.304147985,0.0,-0.096790009,-0.146172315,-1.372155006,0.887495803,-0.748510984,-0.723540863,0.468852034,0.26706478,0.0,-0.344197479,0.02550398,0.277252881,0.286293203,-0.27767436,0.892508248
abcf1,-0.171292703,-0.140986824,0.0,0.0,0.0,-1.170620888,-0.238264717,0.0,-0.911098736,-0.972905313,-1.150232304,0.244699316,0.135948023,-0.384143396,-1.292253715,-0.760252424,-0.512135608,-0.478145587,0.420602447,0.564649991,-1.305470334,0.184466994,-0.498199826,-0.444117645,-0.183338698,-1.01754589,0.73246443,-1.918961248,0.0,0.0
abcf2,-0.266972737,0.267474544,0.529564129,0.625215378,0.617693404,-0.095199789,-1.602366104,0.0,-1.147251512,-0.149683304,-1.259814608,-0.090933342,-0.36896909,-0.08967383,-0.31269092,0.504741384,0.297388597,0.117202457,0.58969747,-0.170961538,0.822385522,0.171555967,0.42354702,0.018098458,-0.24058702,0.0,0.006541412,0.663847996,1.258290438,-1.073986908
abcf3,0.192093896,0.949036196,0.584134264,-0.151748451,0.080206289,-0.106234742,-0.694308825,0.0,1.227589658,0.081564016,-0.101625911,-0.040845798,0.973990208,-1.279329057,-1.092275142,-0.327886508,-0.038514809,0.166229497,-0.845196985,-0.333494086,-0.090603051,0.306077818,-1.284920372,-1.663237215,-0.224646601,-0.551720883,-2.614037148,-0.629926155,0.0,0.0
abhd10,-0.450042569,0.291900682,0.000929822,-0.23374142,0.780955699,0.328561724,-0.097185321,0.0,0.0,0.105219474,-0.219628731,-0.610673337,1.178995227,0.629198855,0.0,0.323386137,0.900449245,-0.019363018,0.292428679,-0.026896766,0.520949201,0.393798317,1.467513007,0.894937468,0.313549473,0.200978735,0.723717328,-0.147721328,0.0,0.0
abhd11,-0.349088381,1.282769772,1.167221287,0.0,1.037396,0.0,0.481231876,0.0,0.0,0.258645999,0.670023756,-1.248135504,0.0,1.497205158,1.052603236,1.245252419,1.006030741,-0.016670034,0.905991478,0.079660701,2.534204286,-0.074067669,1.387797418,0.955058032,0.083023755,0.474081258,0.25442221,-0.51720474,0.0,0.0
