Gene,CAT7,CAT12,CAT13,CAT25,CAT34,CAT38,CAT39,CAT11,CAT14,CAT17,CAT19,CAT21,CAT22,CAT26,CAT27,CAT28,CAT32,CAT33,CAT35,CAT20,CAT23,CAT24,CAT30,CAT31
aaas,0.914977080803398,0.0,0.0,0.06330331602234203,-0.33051980690713156,0.05964723651413215,0.34925808691158683,0.42779324737504754,-0.6260935714949134,-0.10648237698351161,0.150929548998315,-0.7161494439665244,0.5787320029344158,0.7811870429418158,-1.901228726785182,0.25803406527054923,0.2983731524277527,0.15691682850575256,0.17356208916102353,-0.6724134431624879,-0.9949358668172983,-0.8893151862800485,-0.5768304469262453,0.0
aagab,0.12054066755363516,0.0,0.0,-0.005077824659455906,0.045651461096514113,-0.7108692971214483,0.8531087171668964,-1.6700620259269552,-0.4374995781809666,-0.18156362816434637,-0.03042832714303058,-0.19143707583982988,-0.943625183658682,-0.21009447772883055,0.30707672715375767,-0.6919611896539295,-0.8636668068416127,-0.3262870502044248,0.0958181740156757,0.0,0.17114683558978872,0.8291028835405916,0.025097122560489116,1.177626036794996
aamp,-0.2931937734885335,0.0,0.6277968904459995,-0.09319085040366966,-0.017241753020791138,-0.5309122480648011,-0.1072472946954709,1.2638816895162468,0.6209930505726554,1.0738530295100999,0.7713483599030736,0.5842602858359138,1.276141296079601,1.0360309741907656,0.9882779009446072,0.0,1.4841995276289257,0.8674208036715728,1.2449034373556118,0.0,1.3269501883445745,0.3097379428569556,-0.3999176122664345,0.0
aars2,-2.3612716783600463,0.0,0.0,-0.03939747945625671,-1.344648962936028,0.15165967187465956,-4.522208854325888,0.0,0.0,-0.37816574407003883,-0.36926705725114173,0.24944190683743322,-1.8473145575926382,0.2909003770939112,0.04191264546988926,-1.0956024947742884,-1.1623263172148395,-0.1455123186900533,-0.44617302241711543,0.0,0.45610095301073705,-1.0743352082353197,0.0,0.0
aarsd1,-1.0605300676874796,0.0,-2.680054761307249,-0.1619893699645389,-1.1527608764542354,-0.038789944684093504,0.39295077452754773,-1.335764254041691,0.0,-2.878906013035597,-0.27489861657313347,-1.2394491545526978,-2.3665144292210822,0.0,0.0,-3.5238499865757182,1.344915393328918,0.0,-2.4212427322325207,0.0,-0.504217497468428,-1.2363273829529486,0.0,0.0
aasdhppt,0.2722586717299405,0.0,0.0,0.12129982905385621,0.8506444360992806,0.0,0.0,0.43017027679506914,0.0,0.7714475008652629,0.8051443045406058,0.09327495345009335,0.1346412397813208,-0.8153139135384927,-0.7235408630547214,0.0,0.7386457859612119,-0.04851093834332975,0.18825620804736307,1.3165462754581445,-0.10950912918615065,0.17918358791451508,0.8468105949973136,0.0
aass,-0.3134840919510926,0.0,0.0,-0.43098341255009776,-0.9173762147361094,-0.008466730680044688,-0.9427391111045347,-1.3944018030092487,-1.5008384257958252,-0.5666888656481662,-0.25155745396269485,-1.9024450961675075,-0.4855322294784323,0.33797069804724617,-2.190344026342883,0.37034871174087136,-0.9704728867282216,-2.555906273575711,0.7010727447179728,0.0,0.8220184010211323,0.3621338361908764,0.23680661867495748,0.0
aatf,0.49621755969157333,0.7740270509806572,0.026890401398301983,0.5763304556865517,0.6404607610147071,0.8346814763043492,0.950134400427281,-1.815405550485485,-0.01767604592127019,-0.34429323503968146,-0.157338067164601,-0.2746833031320909,-1.5006981641476764,0.0,-1.1395779551617027,0.0,-1.0947477798395704,-0.19966888499167681,-0.9746321347458656,0.0,-0.9495479635041,-1.6634665296175295,-0.8926133407351042,-1.4077097228245594
abat,0.5097964329927918,0.0,0.0,-0.08143193595427606,0.18733473633691497,0.023196762573478084,1.3350563587873303,0.0,1.7940612116186232,0.7670065073532835,0.5547486221579185,-0.6847954636069703,-0.48794006940076323,-0.0627994536389043,-0.42210454162693983,1.3836216934718264,-0.3547489341913125,-0.9628328690403858,-0.11857115122271356,0.0,-0.04242219908151046,-0.6070950700422477,-0.574072184003766,0.2039044126657682
abca2,-1.6953315879919297,0.0,0.0,0.0,-0.6915947240705087,0.0,0.0,1.8914078956488363,-1.4833249867725684,-0.24404205177592828,0.32814467841626066,-0.5883876464032816,1.3724545859890844,0.0,-0.12990353701519605,0.0,-0.0026819195735750725,0.09899824058567477,0.4660049362078242,0.0,0.03833369601936393,0.11608878590740955,-0.2418612086188979,0.0
abca3,-0.8628730161612476,0.0,-0.0885302751193799,-0.30424086519281607,-0.3138385348720569,-1.1418210419852355,1.5819516549193395,-1.2126587670976692,0.0,0.058142156209442415,0.27374891069350815,-1.8758397190549414,-1.2866818228253183,0.0,0.0,-0.6087120877459893,-0.19404396645878966,-0.4561629873202179,0.0,0.0,1.196272724112688,-0.6284768687665271,-1.4803186330254583,-1.3771281683364134
abcb6,0.08308659620645996,0.0,0.0,-0.08089385351459771,-0.03982592160716046,0.24801177915177516,0.0,-3.0769534395700573,0.0,-0.9020600543398051,0.09713529189236846,0.23231514478194884,-1.0447547272864854,0.6683711283091914,-0.9374133367311792,0.40962638326955264,-1.517309365979049,-1.9270868644728112,0.08625046372069439,0.0,-2.177676262924026,0.2165644676845856,0.0,0.0
abcb7,-0.29353438922164476,0.0,-0.4361345501480731,-0.21868401081714434,-0.039724502683689274,-0.23617266324641775,0.0,0.6277499152788604,0.24688814854300398,0.5309067043019713,0.4980543745215813,-1.0256099846760554,0.7575610948870608,0.13120883551036552,0.35505682214360534,1.408922967246582,0.16210934468237215,-0.7361435806621729,0.3463907345322037,-0.42573436661729697,-0.5218931669347969,-0.7555746009669555,0.0,0.0
abcb9,0.4658544025985147,0.0,0.0,-0.10313834203367155,-0.9926693564053699,0.0,0.0,-0.9917406488109003,0.1556165534916254,-0.5087958788308268,-0.18018801922277422,0.6784593448401481,0.6443722741605903,0.7012622991070827,0.34727210762823774,0.9456492660687165,-0.6964126085204754,-0.94771953318128,0.01739525194443935,0.0,-0.38083468444836205,-0.7370999403620053,0.26213349396373714,0.0
abcc1,1.3617826838723064,0.0,0.53518815810762,-0.04973344887040263,0.0,0.1703574790722126,0.0,-0.03939986368098802,-0.8626062283706691,-1.325692261687652,-0.2538967559514184,0.37746639946378296,-0.17868076657819787,0.03921768931434147,0.0,0.8016337420521664,-0.5937193006732986,0.06422165503766593,-0.04064477764700429,0.0,-0.2028934327594435,-0.8002987568482335,-1.9000160112337725,0.0
abcc10,-1.0814348625518841,0.0,0.0,-0.3129273412538061,-2.020638453350762,-0.26586740548939164,0.0,0.03311244998178642,0.0,0.4162201274015049,0.5865102535189626,0.37093951057985397,0.18331889238378796,0.0,1.1238218436857792,0.0,-0.6455047550820048,1.3100858112700575,0.0,0.0,1.5197227085209315,-0.805840470365611,0.6129756890329859,0.0
abcc4,1.8806621491775695,0.0,0.0,-0.22955313987380033,0.0,-6.587895490662851,1.420877354512047,0.2939891608449522,0.33519838722845585,0.24542760037300396,0.10576679143747987,0.13087454807893895,0.7284795201929843,0.0,0.45626203323520975,0.0,-0.07919547157518202,-1.429021707078261,0.0,0.0,0.8982870611105176,0.28221509012912754,1.2434002297436333,1.3530198193414462
abcd1,-1.1020395925177322,0.0,0.0,-0.21647947064082287,-0.5898080930955647,-0.22309770130916934,0.33715039953782033,0.0,-0.933984811781388,0.5739448323354785,-0.16126097534946268,0.5125895545393283,0.1261303792880884,-0.9902012972325539,0.30707672715375767,-0.3286812842560598,-1.4993841378361055,1.5840941958549262,-0.20087647474051265,0.0,-1.5385802535903563,-2.047585583957966,0.0,0.0
abcd3,-0.5636017426245292,0.0,0.0,-0.027663491372232677,-0.88980467940295,0.0228507065398306,-1.1731795791394695,-0.800486237001309,-0.44571916524776234,-0.8096489882253699,-0.03968238499069659,-0.3339293524093525,-0.9308673686675185,0.0008535271198958131,0.0,0.671164779608971,-0.5650239912252608,0.4757879806193592,0.1819758431371663,0.15091156988877058,1.3176154177901787,-1.2643689203565915,-1.086173448556544,0.8605478038836983
abce1,0.29585290742189135,0.11362368095881789,-0.010061500815109268,0.06200812340941814,-0.7433955356497634,-0.37662355228223376,0.7312979976893877,-0.3041479846086065,0.0,-0.09679000945896833,-0.14617231505347578,-1.3721550061508456,0.8874958025563343,-0.7485109835734322,-0.7235408630547214,0.46885203358419103,0.26706477960730457,0.0,-0.3441974790156913,0.025503979833739577,0.2772528814544327,0.2862932030571383,-0.2776743599678122,0.8925082478386458
